('', 11, 75, 85, 'preta', 'Huka-huka')
('ALICE\n', 24, 51, 59, 'livre', 'Morganti')
('ALICE\n', 12, 53, 70, 'preta', 'Luta marajoara')
('PEDRO HENRIQUE\n', 16, 42, 38, 'livre', 'Morganti')
('ALICE\n', 29, 44, 71, 'amarela', 'Luta marajoara')
('SOPHIA\n', 33, 74, 82, 'cinza', 'Jiu-jitsu')
('MARIA CLARA\n', 13, 75, 23, 'cinza', 'Huka-huka')
('ALICE\n', 39, 69, 53, 'cinza', '')
('SOPHIA\n', 44, 59, 1, 'livre', 'Morganti')
('PEDRO HENRIQUE\n', 18, 66, 98, 'cinza', '')
('MARIA CLARA\n', 26, 42, 26, 'preta', '')
('GABRIEL\n', 42, 73, 96, 'marrom', 'Luta marajoara')
('ARTHUR\n', 39, 45, 22, 'laranja', 'Luta marajoara')
('', 8, 66, 52, 'livre', 'Luta marajoara')
('VALENTINA\n', 41, 45, 43, 'livre', 'Luta marajoara')
('MARIA CLARA\n', 13, 82, 6, 'vermelha', 'Morganti')
('MARIA CLARA\n', 10, 58, 55, 'marrom', 'Luta marajoara')
('ALICE\n', 16, 68, 94, 'laranja', '')
('ALICE\n', 30, 53, 24, 'amarela', 'Morganti')
('SOPHIA\n', 30, 76, 11, 'verde', '')
('ALICE\n', 20, 60, 13, 'preta', 'Luta marajoara')
('MARIA CLARA\n', 18, 40, 23, 'amarela', 'Huka-huka')
('', 26, 71, 3, 'laranja', 'Luta marajoara')
('MARIA EDUARDA\n', 34, 58, 35, 'azul', 'Huka-huka')
('ALICE\n', 39, 60, 20, 'vermelha', 'Morganti')
('ALICE\n', 19, 84, 22, 'marrom', 'Huka-huka')
('MARIA CLARA\n', 36, 50, 89, 'verde', '')
('MARIA EDUARDA\n', 9, 83, 24, 'cinza', 'Morganti')
('GABRIEL\n', 38, 68, 56, 'vermelha', '')
('MARIA EDUARDA\n', 9, 41, 47, 'laranja', 'Jiu-jitsu')
('SOPHIA\n', 47, 52, 68, 'amarela', 'Luta marajoara')
('MARIA CLARA\n', 21, 54, 4, 'laranja', '')
('ALICE\n', 34, 80, 51, 'verde', '')
('PEDRO HENRIQUE\n', 27, 59, 5, 'marrom', 'Morganti')
('MARIA CLARA\n', 16, 64, 23, 'livre', 'Jiu-jitsu')
('VALENTINA\n', 44, 49, 74, 'verde', '')
('', 7, 69, 87, 'livre', 'Luta marajoara')
('MARIA CLARA\n', 45, 67, 96, 'livre', 'Luta marajoara')
('SOPHIA\n', 28, 76, 82, 'azul', 'Morganti')
('GABRIEL\n', 48, 70, 57, 'cinza', '')
('MARIA EDUARDA\n', 24, 77, 22, 'marrom', '')
('GABRIEL\n', 17, 76, 96, 'cinza', 'Luta marajoara')
('ALICE\n', 26, 84, 80, 'livre', 'Luta marajoara')
('VALENTINA\n', 35, 50, 51, 'marrom', '')
('GABRIEL\n', 45, 74, 8, 'marrom', 'Huka-huka')
('MARIA CLARA\n', 42, 62, 8, 'marrom', 'Morganti')
('ALICE\n', 35, 57, 46, 'roxa', '')
